SKU,Item Name,Customer-facing Name,Default Vendor Name,Reporting Category,Default Vendor Code,Default Unit Cost,Current Selling Price,Current Gross Margin %,Current Markup %,Suggested Selling Price,Suggested Gross Margin %,Suggested Markup %,Target Gross Margin %,Minimum Dollar Profit,Cost Band,Strategy Tags,Rounding Profile,Pricing Rule,Pricing Action,Pricing Notes,Strategy Notes,Sales Demand Tier,Sales Lines,Sales Quantity Sold,Sales Net Sales,Average Realized Unit Price,Sales Signal Trusted,Sales Match Types,Sales Pricing Note,Last Price Update Date,Last Price Update Reason,Override Notes
4723,ZSPEED THROTTLE CONTROL KIT 3000PSI,Z SPEED THROTTLE CONTROL KIT 3000PSI,Barrens,Barrens,4723,101.56,,,,134.99,24.8%,32.9%,24.0%,16.00,100-249.99,bundle,ending_5_minus_.01,100-249.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
4724,GIANT 1153 PUMP OIL QT.,GIANT 1153 PUMP OIL QT.,Barrens,Barrens,4724,14.01,,,,18.99,26.2%,35.5%,23.0%,4.50,10-19.99,equipment,ending_.99,10-19.99 + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Larger equipment uses a thinner margin target.,,,,,,,,,,,
4728,"CAT 550 7PFR CERAMIC PLUNGER DS 5.0GPM 3000PSI, 14","CAT 550 7PFR CERAMIC PLUNGER DS 5.0GPM 3000PSI, 14",Barrens,Barrens,4728,1397.01,,,,1649.00,15.3%,18.0%,14.0%,125.00,1000+,,ending_50_minus_1,1000+,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 1000+.,,,,,,,,,,,
4729,KIT 2740 SUPPORT RINGS FOR XMV,KIT 2740 SUPPORT RINGS FOR XMV,Barrens,Barrens,4729,6.94,,,,9.99,30.5%,43.9%,30.0%,3.00,5-9.99,bundle,ending_.99,5-9.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
4730,(50)ST2700 S.S.SPRAY GUN 12GPM 5000PSI RELAX ACTIO,SUTTNER ST2700 STAINLESS I/O SPRAY GUN W/ RELAXED ACTION,Barrens,Barrens,4730,106.11,,,,149.99,29.3%,41.4%,29.0%,16.00,100-249.99,chemical,ending_5_minus_.01,100-249.99 + chemical,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Chemical/restoration products carry a stronger margin target.,,,,,,,,,,,
4731,"(25)BALL VALVE 3-WAY 3/8""FPT,7000PSI-ZINC PLATED","BALL VALVE 3-WAY 3/8""FPT,7000PSI-ZINC PLATED",Barrens,Barrens,4731,42.67,,,,56.99,25.1%,33.6%,25.0%,7.00,20-49.99,,ending_.99,20-49.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99.,,,,,,,,,,,
4732,FG NYLON DRAG BRAKE FOR S.S. HOSE REEL,FG NYLON DRAG BRAKE FOR S.S. HOSE REEL,Barrens,Barrens,4732,24.43,,,,32.99,25.9%,35.0%,25.0%,7.00,20-49.99,,ending_.99,20-49.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99.,,,,,,,,,,,
4733,"1"" SS SNAP RETAINING RING EXTERNAL SS HOSE REELS &","1"" SS SNAP RETAINING RING EXTERNAL SS HOSE REELS &",Barrens,Barrens,4733,1.50,,,,3.99,62.4%,166.0%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4734,9 GAL. 12VDC 1GPM TANK SPRAYER,9 GAL. 12VDC 1GPM TANK SPRAYER,Barrens,Barrens,4734,143.49,,,,184.99,22.4%,28.9%,22.0%,16.00,100-249.99,,ending_5_minus_.01,100-249.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99.,,,,,,,,,,,
4735,(12)9 GAL. 12VDC 1GPM TANK SPRAYER W/CART BATTERY,(12)9 GAL. 12VDC 1GPM TANK SPRAYER W/CART BATTERY,Barrens,Barrens,4735,378.16,,,,479.00,21.1%,26.7%,20.0%,30.00,250-499.99,,ending_10_minus_1,250-499.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 250-499.99.,,,,,,,,,,,
4737,TSP1821 PUMP 5.5GPM 5100PSI 1450RPM 24MMSHAFT,TSP1821 PUMP 5.5GPM 5100PSI 1450RPM 24MMSHAFT,Barrens,Barrens,4737,1129.57,,,,1349.00,16.3%,19.4%,14.0%,125.00,1000+,equipment,ending_50_minus_1,1000+ + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 1000+. Larger equipment uses a thinner margin target.,,,,,,,,,,,
4739,"H-1 7/16"" ID BUSHING","H-1 7/16"" ID BUSHING",Barrens,Barrens,4739,11.10,,,,15.99,30.6%,44.1%,24.0%,4.50,10-19.99,commodity_part,ending_.99,10-19.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4740,H1/4U-SS2580 VEEJET S.S. SPRAY NOZZLE,H1/4U-SS2580 VEEJET S.S. SPRAY NOZZLE,Barrens,Barrens,4740,8.74,,,,11.99,27.1%,37.2%,25.0%,3.00,5-9.99,commodity_part,ending_.99,5-9.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 5-9.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4741,TPL046 TURBO NOZZLE 4000 PSI (25045),TPL046 TURBO NOZZLE 4000 PSI (25045),Barrens,Barrens,4741,33.13,,,,42.99,22.9%,29.8%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4742,21877U SOLENOID VALVE STEM KIT FOR CLEANCUT FUEL P,21877U SOLENOID VALVE STEM KIT FOR CLEANCUT FUEL P,Barrens,Barrens,4742,13.65,,,,19.99,31.7%,46.4%,29.0%,4.50,10-19.99,bundle,ending_.99,10-19.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
4743,PMR INSTALLED OPTION VRT3-250 ON 1/2FPT,PMR INSTALLED OPTION VRT3-250 ON 1/2FPT,Barrens,Barrens,4743,70.10,,,,92.99,24.6%,32.7%,24.0%,10.00,50-99.99,,ending_.99,50-99.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99.,,,,,,,,,,,
4744,"S.S. VACUUM GAUGE 30"" Hg. 1/4"" MPT","S.S. VACUUM GAUGE 30"" Hg. 1/4"" MPT",Barrens,Barrens,4744,15.81,,,,21.99,28.1%,39.1%,27.0%,4.50,10-19.99,,ending_.99,10-19.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99.,,,,,,,,,,,
4745,XO027UG5P3 UXCELL REVOLVING HANDLE,XO027UG5P3 UXCELL REVOLVING HANDLE,Barrens,Barrens,4745,15.21,,,,20.99,27.5%,38.0%,27.0%,4.50,10-19.99,,ending_.99,10-19.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 10-19.99.,,,,,,,,,,,
4754,(300)QC 25065 GREEN NOZZLES,GLADIATOR QC 25° 6.5 GREEN NOZZLE,Barrens,Barrens,4754,3.34,,,,5.99,44.2%,79.3%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4757,TSP1619 PUMP 4.3GPM 5800PSI 1750RPM OR 3.6GPM 7250,TSP1619 PUMP 4.3GPM 5800PSI 1750RPM OR 3.6GPM 7250,Barrens,Barrens,4757,1086.44,,,,1299.00,16.4%,19.6%,14.0%,125.00,1000+,equipment,ending_50_minus_1,1000+ + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 1000+. Larger equipment uses a thinner margin target.,,,,,,,,,,,
4760,ON/OFF SWITCH WIRE ONLY GX120-GX270,ON/OFF SWITCH WIRE ONLY GX120-GX270,Barrens,Barrens,4760,2.99,,,,4.99,40.1%,66.9%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4761,ON/OFF SWITCH WIRE ONLY GX340-390,ON/OFF SWITCH WIRE ONLY GX340-390,Barrens,Barrens,4761,2.99,,,,4.99,40.1%,66.9%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4762,ST-75 FOAM NOZZLE W/10.0 NOZZLE,ST-75 FOAM NOZZLE W/10.0 NOZZLE,Barrens,Barrens,4762,51.93,,,,65.99,21.3%,27.1%,21.0%,10.00,50-99.99,commodity_part,ending_.99,50-99.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4765,Y5183185 SPACER FOR YLS12T FOAMER,Y5183185 SPACER FOR YLS12T FOAMER,Barrens,Barrens,4765,1.80,,,,3.99,54.9%,121.7%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4766,100317 JETTER VALVE FOR 47 SERIES PUMPS,100317 JETTER VALVE FOR 47 SERIES PUMPS,Barrens,Barrens,4766,74.50,,,,93.99,20.7%,26.2%,20.0%,10.00,50-99.99,equipment,ending_.99,50-99.99 + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Larger equipment uses a thinner margin target.,,,,,,,,,,,
4767,TPL052 TURBO NOZZLE 4000 PSI (25053),TPL052 TURBO NOZZLE 4000 PSI (25053),Barrens,Barrens,4767,33.13,,,,42.99,22.9%,29.8%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4768,ST-75 FOOD GRADE FOAM NOZZLE W/5.0 NOZZLE,ST-75 FOOD GRADE FOAM NOZZLE W/5.0 NOZZLE,Barrens,Barrens,4768,103.89,,,,129.99,20.1%,25.1%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4769,"PMR LWS2020E 2.2GPM 2000PSI 5/8"" SHAFT VRT3-160","PMR LWS2020E 2.2GPM 2000PSI 5/8"" SHAFT VRT3-160",Barrens,Barrens,4769,352.02,,,,449.00,21.6%,27.5%,20.0%,30.00,250-499.99,,ending_10_minus_1,250-499.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 250-499.99.,,,,,,,,,,,
4772,"TKA-FL-2cw2 1/4"" 18.5"" G3/8""F H=30 4000psi","TKA-FL-2cw2 1/4"" 18.5"" G3/8""F H=30 4000psi",Barrens,Barrens,4772,82.67,,,,108.99,24.1%,31.8%,24.0%,10.00,50-99.99,,ending_.99,50-99.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99.,,,,,,,,,,,
4773,BRASS ADAPTER 1/2 FPT X 1/2 MPT,BRASS ADAPTER 1/2 FPT X 1/2 MPT,Barrens,Barrens,4773,2.92,,,,4.99,41.5%,70.9%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4777,"ZWD4035G 4GPM 3500PSI 1"" GAS FLANGE","ZWD4035G 4GPM 3500PSI 1"" GAS FLANGE",Barrens,Barrens,4777,330.84,,,,419.00,21.0%,26.6%,20.0%,30.00,250-499.99,,ending_10_minus_1,250-499.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 250-499.99.,,,,,,,,,,,
4778,"ZWD3030G 3GPM 3200PSI 3/4"" GAS FLANGE","ZWD3030G 3GPM 3200PSI 3/4"" GAS FLANGE",Barrens,Barrens,4778,326.26,,,,409.00,20.2%,25.4%,20.0%,30.00,250-499.99,,ending_10_minus_1,250-499.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 250-499.99.,,,,,,,,,,,
4780,"(200)QC PLUG 3/8"" MNPT STEEL PLATED","(200)QC PLUG 3/8"" MNPT STEEL PLATED",Barrens,Barrens,4780,2.30,,,,4.99,53.9%,117.0%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4781,1080091 SPRING,1080091 SPRING,Barrens,Barrens,4781,2.89,,,,4.99,42.1%,72.7%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4782,"ZWD3535G 3.5GPM 3500PSI 1"" GAS FLANGE","ZWD3535G 3.5GPM 3500PSI 1"" GAS FLANGE",Barrens,Barrens,4782,331.91,,,,419.00,20.8%,26.2%,20.0%,30.00,250-499.99,,ending_10_minus_1,250-499.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 250-499.99.,,,,,,,,,,,
4784,BRASS HOSEBARB 3/8 HOSE X 1/2 MPT ELBOW,BRASS HOSEBARB 3/8 HOSE X 1/2 MPT ELBOW,Barrens,Barrens,4784,3.95,,,,5.99,34.1%,51.6%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4786,EACH FOAM PRE-FILTER GX160-200,EACH FOAM PRE-FILTER GX160-200,Barrens,Barrens,4786,1.98,,,,3.99,50.4%,101.5%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4787,EACH FOAM PRE-FILTER GX240-270,Honda GX240-270 Foam Pre-Filter,Barrens,Barrens,4787,2.47,,,,4.99,50.5%,102.0%,32.0%,2.00,0-4.99,"chemical, equipment",ending_.99,0-4.99 + chemical + equipment,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Chemical/restoration products carry a stronger margin target. Larger equipment uses a thinner margin target.,,,,,,,,,,,
4788,EACH FOAM PRE-FILTER GX340-390,EACH FOAM PRE-FILTER GX340-390,Barrens,Barrens,4788,2.68,,,,4.99,46.3%,86.2%,29.0%,2.00,0-4.99,,ending_.99,0-4.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99.,,,,,,,,,,,
4789,REPAIR KIT ROTOJET 5800 PSI 9.0,REPAIR KIT ROTOJET 5800 PSI 9.0,Barrens,Barrens,4789,52.53,,,,68.99,23.9%,31.3%,23.0%,10.00,50-99.99,"bundle, commodity_part",ending_.99,50-99.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4790,1380920 GUIDING PISTON,1380920 GUIDING PISTON,Barrens,Barrens,4790,31.47,,,,41.99,25.1%,33.4%,25.0%,7.00,20-49.99,,ending_.99,20-49.99,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99.,,,,,,,,,,,
4791,CASE 4X8# KOIL KLEEN - DS ONLY,CASE 4X8# KOIL KLEEN - US ONLY,Barrens,Barrens,4791,205.20,,,,274.99,25.4%,34.0%,24.0%,16.00,100-249.99,bundle,ending_5_minus_.01,100-249.99 + bundle,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Bundle or bulk packaging gets a modest premium.,,,,,,,,,,,
4792,WW200 SEAL KIT,WW200 SEAL KIT,Barrens,Barrens,4792,58.35,,,,75.99,23.2%,30.2%,23.0%,10.00,50-99.99,"bundle, commodity_part",ending_.99,50-99.99 + bundle + commodity_part + sales_light,fill_missing_price,Filled missing selling price from the strategic pricing engine. light seller with average realized price 60.38.,"Base cost band 50-99.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive. Sales history exists, but realized margin is too thin to trust for a lower target.",light,2,2.00,120.75,60.38,,exact_sku,light seller with average realized price 60.38.,,,
4793,770140 O-RING COMBISET UNLOADERS,770140 O-RING COMBISET UNLOADERS,Barrens,Barrens,4793,0.33,,,,2.99,89.0%,806.1%,28.0%,2.00,0-4.99,"bundle, commodity_part",ending_.99,0-4.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4794,ROTOJET 5800 PSI 9.0 NOZZLE,ROTOJET 5800 PSI 9.0 NOZZLE,Barrens,Barrens,4794,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4795,BRASS HOSEBARB 1/2 HOSE X 3/8 MPT ELBOW,BRASS HOSEBARB 1/2 HOSE X 3/8 MPT ELBOW,Barrens,Barrens,4795,3.60,,,,5.99,39.9%,66.4%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4796,BRASS HOSEBARB 1/2 HOSE X 1/2 MPT ELBOW,BRASS HOSEBARB 1/2 HOSE X 1/2 MPT ELBOW,Barrens,Barrens,4796,4.08,,,,6.99,41.6%,71.3%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4797,QC 40065 WHITE NOZZLES,GLADIATOR QC 40° 6.5 WHITE NOZZLE,Barrens,Barrens,4797,3.34,,,,5.99,44.2%,79.3%,26.0%,2.00,0-4.99,commodity_part,ending_.99,0-4.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 0-4.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4800,ROTOJET 3700 PSI 4.0 NOZZLE,ROTOJET 3700 PSI 4.0 NOZZLE,Barrens,Barrens,4800,39.72,,,,50.99,22.1%,28.4%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4801,ROTOJET 3700 PSI 4.5 NOZZLE (1060040600),ROTOJET 3700 PSI 4.5 NOZZLE (1060040600),Barrens,Barrens,4801,39.72,,,,50.99,22.1%,28.4%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4802,ROTOJET 3700 PSI 5.0 NOZZLE,ROTOJET 3700 PSI 5.0 NOZZLE,Barrens,Barrens,4802,39.72,,,,50.99,22.1%,28.4%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4803,ROTOJET 3700 PSI 5.5 NOZZLE,ROTOJET 3700 PSI 5.5 NOZZLE,Barrens,Barrens,4803,39.72,,,,62.99,36.9%,58.6%,21.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part + sales_emerging,fill_missing_price,Filled missing selling price from the strategic pricing engine. emerging seller with average realized price 62.12. Actual realized selling price supports a higher anchor.,"Base cost band 20-49.99. Commodity replacement parts stay more competitive. Sales history marks this as a emerging seller, so the margin target was tightened.",emerging,5,6.00,372.75,62.12,Y,exact_sku,emerging seller with average realized price 62.12. Actual realized selling price supports a higher anchor.,,,
4804,ROTOJET 3700 PSI 6.0 NOZZLE,ROTOJET 3700 PSI 6.0 NOZZLE,Barrens,Barrens,4804,39.72,,,,50.99,22.1%,28.4%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4805,REPAIR KIT ROTOJET 3700 PSI 3.5,REPAIR KIT ROTOJET 3700 PSI 3.5,Barrens,Barrens,4805,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4806,REPAIR KIT ROTOJET 3700 PSI 4.0,REPAIR KIT ROTOJET 3700 PSI 4.0,Barrens,Barrens,4806,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4807,REPAIR KIT ROTOJET 3700 PSI 4.5,REPAIR KIT ROTOJET 3700 PSI 4.5,Barrens,Barrens,4807,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4808,REPAIR KIT ROTOJET 3700 PSI 5.0,REPAIR KIT ROTOJET 3700 PSI 5.0,Barrens,Barrens,4808,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4809,REPAIR KIT ROTOJET 3700 PSI 5.5,REPAIR KIT ROTOJET 3700 PSI 5.5,Barrens,Barrens,4809,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4810,REPAIR KIT ROTOJET 3700 PSI 6.0,REPAIR KIT ROTOJET 3700 PSI 6.0,Barrens,Barrens,4810,36.14,,,,47.99,24.7%,32.8%,24.0%,7.00,20-49.99,"bundle, commodity_part",ending_.99,20-49.99 + bundle + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Bundle or bulk packaging gets a modest premium. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4811,ROTOJET 3700 PSI 3.5 NOZZLE,ROTOJET 3700 PSI 3.5 NOZZLE,Barrens,Barrens,4811,39.72,,,,50.99,22.1%,28.4%,22.0%,7.00,20-49.99,commodity_part,ending_.99,20-49.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 20-49.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4812,ROTOJET 5800 PSI 4.0 NOZZLE,ROTOJET 5800 PSI 4.0 NOZZLE,Barrens,Barrens,4812,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4813,ROTOJET 5800 PSI 4.5 NOZZLE,ROTOJET 5800 PSI 4.5 NOZZLE,Barrens,Barrens,4813,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4814,ROTOJET 5800 PSI 5.0 NOZZLE,ROTOJET 5800 PSI 5.0 NOZZLE,Barrens,Barrens,4814,91.47,,,,115.99,21.1%,26.8%,21.0%,10.00,50-99.99,commodity_part,ending_.99,50-99.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 50-99.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4815,ROTOJET 5800 PSI 5.5 NOZZLE,ROTOJET 5800 PSI 5.5 NOZZLE,Barrens,Barrens,4815,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4816,ROTOJET 5800 PSI 6.0 NOZZLE,ROTOJET 5800 PSI 6.0 NOZZLE,Barrens,Barrens,4816,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4817,ROTOJET 5800 PSI 7.0 NOZZLE,ROTOJET 5800 PSI 7.0 NOZZLE,Barrens,Barrens,4817,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
4818,ROTOJET 5800 PSI 8.0 NOZZLE,ROTOJET 5800 PSI 8.0 NOZZLE,Barrens,Barrens,4818,110.80,,,,154.99,28.5%,39.9%,18.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part + sales_emerging,fill_missing_price,Filled missing selling price from the strategic pricing engine. emerging seller with average realized price 154.33. Actual realized selling price supports a higher anchor.,"Base cost band 100-249.99. Commodity replacement parts stay more competitive. Sales history marks this as a emerging seller, so the margin target was tightened.",emerging,3,3.00,463.00,154.33,Y,exact_sku,emerging seller with average realized price 154.33. Actual realized selling price supports a higher anchor.,,,
4819,ROTOJET 5800 PSI 12.0 NOZZLE,ROTOJET 5800 PSI 12.0 NOZZLE,Barrens,Barrens,4819,110.80,,,,139.99,20.9%,26.3%,19.0%,16.00,100-249.99,commodity_part,ending_5_minus_.01,100-249.99 + commodity_part,fill_missing_price,Filled missing selling price from the strategic pricing engine.,Base cost band 100-249.99. Commodity replacement parts stay more competitive.,,,,,,,,,,,
