Sales Category,Sales Item,Sales SKU,Sales GTIN,Sales Lines,Quantity Sold,Gross Sales,Discounts,Net Sales,First Sale Date,Last Sale Date,Match Type,Match Accepted,Match Score,Second Best Score,Matched Master SKU,Matched Catalog Item,Matched Vendor,Matched Catalog Price,Matched Catalog Cost,Match Reason,Top Candidate 1 Score,Top Candidate 1 Item,Top Candidate 1 SKU,Top Candidate 1 Vendor,Top Candidate 1 Reason,Top Candidate 2 Score,Top Candidate 2 Item,Top Candidate 2 SKU,Top Candidate 2 Vendor,Top Candidate 2 Reason,Top Candidate 3 Score,Top Candidate 3 Item,Top Candidate 3 SKU,Top Candidate 3 Vendor,Top Candidate 3 Reason
Sweep Away,Sweep Away Oil Stain Eliminator 1.5 lbs.,8369474,,12,13,389.87,-26.65,363.22,2025-05-05,2025-12-04,unmatched,N,0.299,0.294,,,,,,category fit,0.299,White Water - 4 Gallon Case (per gallon),TDC-WHITEWTERG,Trident,category fit,0.294,White Water - 5 Gallon Pail,TRIDEN-WHITE-WATER-5-GALLON-PAIL,Trident,category fit,0.288,Sea Wall - 5 Gallon Pail,TRIDEN-SEA-WALL-5-GALLON-PAIL,Trident,category fit
Parts,Parts : Misc,7230621,,4,4,360.64,0.00,360.64,2025-05-02,2025-07-08,unmatched,N,0.259,0.235,,,,,,"1 shared tokens, category fit",0.259,Surface cleaner castor kit 4 parts.,V-CASTOR,MPWSR,"1 shared tokens, category fit",0.235,PT INJECTOR KIT (GP FIXED 2.3) (BAG ALL PARTS),5914,Barrens,"1 shared tokens, category fit",0.235,PT INJECTOR KIT (GP FIXED 2.1) (BAG ALL PARTS),5913,Barrens,"1 shared tokens, category fit"
EBC,EBC Glide 5 gallon,B314589,,2,2,360.00,0.00,360.00,2025-04-08,2025-06-03,unmatched,N,0.385,0.184,,,,,,"2 shared tokens, category fit",0.385,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,1007-24632,EnviroBioCleaner,"2 shared tokens, category fit",0.184,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,1007-24624,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",,,,,
Tucker,2.5in x 10in Sediment/Carbon Filter,20025/26,,9,12,347.88,0.00,347.88,2025-04-01,2026-02-25,unmatched,N,0.280,0.276,,,,,,"1 shared tokens, category fit",0.280,T-bar and Golden Glove Sleeve 10in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-SLE,JRacenstein,"1 shared tokens, category fit",0.276,Scraper 5in Ettore,46312,JRacenstein,"1 shared tokens, category fit",0.235,Blades ProPlus 06in Carbon Stl (25) Etto,JRACEN-PRO-CONTOUR-STEEL-REPLACEMENT-BL,JRacenstein,"1 shared tokens, category fit"
Tucker,100' of 5/16 Tucker Tubing,T-SH-5/16-100,,3,4,351.96,-9.31,342.65,2025-04-10,2026-03-10,unmatched,N,0.282,0.278,,,,,,"1 shared tokens, category fit",0.282,Ettore All Purpose Squeegees 16 inch,17016,JRacenstein,"1 shared tokens, category fit",0.278,Ettore Grip-n-Grab Tool 16 inch,49016,JRacenstein,"1 shared tokens, category fit",0.262,Ettore Channel Classic Aluminum 16 inch,1916,JRacenstein,"1 shared tokens, category fit"
Chemicals,Hot Stain Remover,1536264,,1,2,320.00,0.00,320.00,2025-06-09,2025-06-09,unmatched,N,0.706,0.630,,,,,,"3 shared tokens, category fit, name contains match",0.706,Hot Stain Remover - 1 Gallon,EACOCH-HOT-STAIN-REMOVER-1-GALLON,EacoChem,"3 shared tokens, category fit, name contains match",0.630,Hot Stain Remover - 5 Gallon Pail,EACOCH-HOT-STAIN-REMOVER-5-GALLON-PAIL,EacoChem,"3 shared tokens, category fit, name contains match",0.530,Hot Stain Remover - 55 Gallon Drum,EACOCH-HOT-STAIN-REMOVER-55-GALLON-DRUM,EacoChem,"3 shared tokens, category fit, name contains match"
None,misc plumping parts,,,1,1,313.67,0.00,313.67,2025-10-23,2025-10-23,unmatched,N,0.257,0.257,,,,,,1 shared tokens,0.257,PT INJECTOR KIT (GP FIXED 2.3) (BAG ALL PARTS),5914,Barrens,1 shared tokens,0.257,PT INJECTOR KIT (GP FIXED 2.1) (BAG ALL PARTS),5913,Barrens,1 shared tokens,0.257,PT INJECTOR KIT (GP FIXED 1.8) (BAG ALL PARTS),5912,Barrens,1 shared tokens
Tools,Bucket Lid Sprayer,6307514,,1,1,300.00,0.00,300.00,2025-04-29,2025-04-29,unmatched,N,0.512,0.442,,,,,,"2 shared tokens, category fit",0.512,Bucket Super Lid Ettore,85100,JRacenstein,"2 shared tokens, category fit",0.442,Bucket Super Compact Lid Ettore,86100,JRacenstein,"2 shared tokens, category fit",0.409,"Super Bucket Complete (lid, casters, sieve)",85500,JRacenstein,"2 shared tokens, category fit"
H & G,Sweep Away Combo,SweepHG,,5,5,299.95,-6.00,293.95,2025-03-19,2026-01-12,unmatched,N,0.366,0.342,,,,,,1 shared tokens,0.366,Shower Sweep Aqua,15101,JRacenstein,1 shared tokens,0.342,Shower Sweep Assorted,14125,JRacenstein,1 shared tokens,0.333,Shower Sweep White,14100,JRacenstein,1 shared tokens
Tucker,Tucker Glide Water Fed Brush,9635350,,1,2,310.00,-16.41,293.59,2025-10-28,2025-10-28,unmatched,N,0.389,0.365,,,,,,"1 shared tokens, category fit",0.389,Large Flo Brush,59080,JRacenstein,"1 shared tokens, category fit",0.365,Cleaning Clamp Brush,55170,JRacenstein,"1 shared tokens, category fit",0.334,Super Brush Ettore,JRACEN-SUPER-BRUSH,JRacenstein,"1 shared tokens, category fit"
Tools,EC Jet - Pavers,370794G,,2,2,290.00,0.00,290.00,2025-09-11,2025-11-04,unmatched,N,0.367,0.367,,,,,,"1 shared tokens, category fit",0.367,ORIFICE #7 FOR X-JET NOZZLES,5282,Barrens,"1 shared tokens, category fit",0.367,FOAM-JET KIT,6671,Barrens,"1 shared tokens, category fit",0.345,M-JET REPLACEMENT VARIABLE NOZZLE,2978,Barrens,"1 shared tokens, category fit"
EaCo Chem,White Scum Presoak,7505821,,3,6,286.47,0.00,286.47,2025-04-11,2026-01-22,unmatched,N,0.691,0.612,,,,,,"2 shared tokens, category fit, name contains match",0.691,White Scum Presoak - 1 Gallon,EACOCH-WHITE-SCUM-PRESOAK-1-GALLON,EacoChem,"2 shared tokens, category fit, name contains match",0.612,White Scum Presoak - 5 Gallon Pail,EACOCH-WHITE-SCUM-PRESOAK-5-GALLON-PAIL,EacoChem,"2 shared tokens, category fit, name contains match",0.513,White Scum Presoak - 55 Gallon Drum,EACOCH-WHITE-SCUM-PRESOAK-55-GALLON-DRU,EacoChem,"2 shared tokens, category fit, name contains match"
Parts,3/8 O-Ring 10 pack,V867770,,31,44,286.00,-0.83,285.17,2025-04-07,2026-03-13,unmatched,N,0.534,0.534,,,,,,"3 shared tokens, category fit",0.534,"O-RING BUNA-N FOR 3/8"" QC SOCKETS - 10 PACK",2757,Barrens,"3 shared tokens, category fit",0.534,"O-RING BUNA-N FOR 1/4"" QC SOCKETS - 10 PACK",2785,Barrens,"3 shared tokens, category fit",0.516,"O-RING VITON BROWN FOR 3/8"" QC SOCKETS - 10 PACK",6624,Barrens,"3 shared tokens, category fit"
Sand,PolySweep BLACK,421390Y,,2,7,276.50,0.00,276.50,2025-12-18,2026-01-12,unmatched,N,0.498,0.386,,,,,,"1 shared tokens, category fit, name contains match",0.498,Polysweep - Black - 50 lb bag,TDP-POLYBLACK,Trident,"1 shared tokens, category fit, name contains match",0.386,Polysweep - Tan - 50 lb bag,TDP-POLYTAN,Trident,"1 shared tokens, category fit",0.378,Polysweep - Grey - 50 lb bag,TDP-POLYGRAY,Trident,"1 shared tokens, category fit"
Tucker,"Tucker 5/16"" Pole Hose 100""",E419188,,3,3,270.00,0.00,270.00,2025-05-30,2026-02-05,unmatched,N,0.311,0.297,,,,,,"1 shared tokens, category fit",0.311,Ettore Channel Classic Brass 16 inch [Case 12],JRACEN-MASTER-BRASS-CHANNELS-WITH-RUB-9,JRacenstein,"1 shared tokens, category fit",0.297,Ettore Rubber Master Replacement Dozen 16 inch [Case 12],JRACEN-MASTER-RUBBER-16-CASE-12,JRacenstein,"1 shared tokens, category fit",0.295,Ettore Rubber Master Replacement Gross 16 inch [Case 144],1423,JRacenstein,"1 shared tokens, category fit"
Chemicals,MediClean Disinfectant Spray Plus,211112J,,4,4,270.00,0.00,270.00,2025-04-07,2025-10-22,unmatched,N,0.375,0.366,,,,,,"1 shared tokens, category fit",0.375,Universal Spot spray gun,11153,MPWSR,"1 shared tokens, category fit",0.366,Maxima 4 tip spray bar,MAX635-4,MPWSR,"1 shared tokens, category fit",0.307,Tidal Wave Spray - 5 Gallon Pail,TRIDEN-TIDAL-WAVE-SPRAY-5-GALLON-PAIL,Trident,"1 shared tokens, category fit"
Tagaway/Taginator,Taginator 32oz Trigger Spray,S874745,,10,10,265.00,-2.65,262.35,2025-03-18,2026-03-16,unmatched,N,0.224,0.212,,,,,,category fit,0.224,Cleaning Clamp Ettore,55160,JRacenstein,category fit,0.212,Scraper 5in Ettore,46312,JRacenstein,category fit,0.212,Reach 4- Section 32',44232,JRacenstein,category fit
None,Seal Kit,,,1,1,261.60,0.00,261.60,2026-03-04,2026-03-04,unmatched,N,0.680,0.607,,,,,,"2 shared tokens, name contains match",0.680,UD-7 SEAL KIT,5514,Barrens,"2 shared tokens, name contains match",0.607,XWAM seal kit,AR2278,MPWSR,"2 shared tokens, name contains match",0.521,WW200 SEAL KIT,4792,Barrens,"2 shared tokens, name contains match"
Window Cleaning,"Sorbo Cobra 18""",P592226,,10,14,262.50,-1.66,260.84,2025-06-05,2026-02-25,unmatched,N,0.448,0.000,,,,,,"2 shared tokens, category fit",0.448,Sorbo Replacement Rubber Gross 18 inch,JRACEN-T-SHAPED-RUBBER-18,JRacenstein,"2 shared tokens, category fit",,,,,,,,,,
Sorbo,Sorbo 18in T-RUBBER,D149869,,20,47,253.80,-3.21,250.59,2025-04-05,2026-03-11,unmatched,N,0.391,0.380,,,,,,"1 shared tokens, category fit",0.391,Floor Squeegee Wipe & Dry 18in Ettore,48218,JRacenstein,"1 shared tokens, category fit",0.380,Pro+ Squeegee Complete 18in Ettore Stainless,2018,JRacenstein,"1 shared tokens, category fit",0.370,T-bar and Golden Glove Sleeve 18in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-3,JRacenstein,"1 shared tokens, category fit"
None,packing kit,,,1,1,250.00,0.00,250.00,2025-11-26,2025-11-26,unmatched,N,0.518,0.490,,,,,,"2 shared tokens, name contains match",0.518,Packing Kit AR XMV Pump,KIT2741,MPWSR,"2 shared tokens, name contains match",0.490,(5)GP PACKING EXTRACTOR KIT,4030,Barrens,2 shared tokens,0.476,Packing Kit Cat 67DX,76262,MPWSR,"2 shared tokens, name contains match"
None,Steel,,,1,1,250.00,0.00,250.00,2025-04-02,2025-04-02,unmatched,N,0.367,0.360,,,,,,"1 shared tokens, name contains match",0.367,"1/4"" Steel Hex Nipple",54044,MPWSR,"1 shared tokens, name contains match",0.360,3 x 3/8 FPT Steel Tee,560566,MPWSR,"1 shared tokens, name contains match",0.360,3 x 1/4 FPT Steel Tee,560544,MPWSR,"1 shared tokens, name contains match"
None,Kenedy Hydaulics- Pump Test/ Evaluations,,,1,1,250.00,0.00,250.00,2025-03-21,2025-03-21,unmatched,N,0.303,0.298,,,,,,1 shared tokens,0.303,Universal Pump Support Bracket,MGDPSKIT,MPWSR,1 shared tokens,0.298,Pump Assembly fluid section,246-426,MPWSR,1 shared tokens,0.298,GP EZ series pump dipstick SHORT,98210300,MPWSR,1 shared tokens
Equipment,IBC Tote 275 Gallon,N919778,,2,2,250.00,0.00,250.00,2025-11-11,2026-02-19,unmatched,N,0.309,0.300,,,,,,1 shared tokens,0.309,Brick Red Gallon,665901,INSECO,1 shared tokens,0.300,White Base Gallon,665101,INSECO,1 shared tokens,0.285,Tote Lid,800135,MPWSR,1 shared tokens
EBC,EBC Restorer - 1 Gallon,770837V,,6,7,248.50,0.00,248.50,2025-04-08,2026-02-13,unmatched,N,0.242,0.161,,,,,,"2 shared tokens, category fit, measure mismatch penalty",0.242,EBC Multipurpose Cleaner and Degreaser - 5 Gallon Pail,1007-24632,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",0.161,EBC Multipurpose Cleaner and Degreaser - 55 Gallon Kit,1007-24624,EnviroBioCleaner,"2 shared tokens, category fit, measure mismatch penalty",,,,,
None,H7 - Battery,562138R,,1,1,245.00,0.00,245.00,2025-12-11,2025-12-11,unmatched,N,0.417,0.262,,,,,,1 shared tokens,0.417,BATTERY BOX,85.603.005,BE,1 shared tokens,0.262,"CABLE, BATTERY RED 6 GAUGE RED",85.603.040,BE,1 shared tokens,0.247,"BATTERY, 18AH FOR BE-12000ER",85.591.227,BE,1 shared tokens
Tucker,Water-Fed Delivery Pump,12034,,1,1,235.96,0.00,235.96,2025-10-31,2025-10-31,unmatched,N,0.337,0.000,,,,,,"1 shared tokens, category fit",0.337,Water Spot Remover Scrub Off Ettore,30161,JRacenstein,"1 shared tokens, category fit",,,,,,,,,,
None,Battery/cables/term,,,1,1,235.13,0.00,235.13,2025-04-02,2025-04-02,unmatched,N,0.357,0.224,,,,,,2 shared tokens,0.357,Set of Battery Cables for Electric Start Machines - Motor,BC-10,MPWSR,2 shared tokens,0.224,Set of Battery Cables for Electric Start Machines - 5ft Honda V-Twin Motors,BC-5HVT,MPWSR,2 shared tokens,0.204,Set of Battery Cables for Electric Start Machines - 5ft Motors Excludes Honda V-Twin,BC-5,MPWSR,2 shared tokens
Tucker,4in x 10in Sediment Filter,20008,,2,6,230.28,0.00,230.28,2026-01-17,2026-01-20,unmatched,N,0.305,0.284,,,,,,"1 shared tokens, category fit",0.305,Blades 4in for HD Scraper (10) Ettore,20291,JRacenstein,"1 shared tokens, category fit",0.284,T-bar and Golden Glove Sleeve 10in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-SLE,JRacenstein,"1 shared tokens, category fit",,,,,
Tools,5 Gallon Carboy,T518151,,4,8,228.00,0.00,228.00,2025-04-08,2026-02-19,unmatched,N,0.437,0.405,,,,,,"1 shared tokens, category fit",0.437,5 GAL. PAIL POPPER,4833,Barrens,"1 shared tokens, category fit",0.405,NuTopp 5 Gallon Pail,NTPP5G,MPWSR,"1 shared tokens, category fit",0.397,Bullseye 5 gallon,BULLSEYE,MPWSR,"1 shared tokens, category fit"
Window Cleaning,"Sorbo 18"" Viper Channel",F646391,,8,11,225.50,0.00,225.50,2025-05-22,2026-02-05,unmatched,N,0.472,0.437,,,,,,"2 shared tokens, category fit",0.472,Ettore Super Channel Aluminum 18 inch,11020,JRacenstein,"2 shared tokens, category fit",0.437,Sorbo Replacement Rubber Gross 18 inch,JRACEN-T-SHAPED-RUBBER-18,JRacenstein,"2 shared tokens, category fit",0.426,Ettore T-Bar ProGrip 18 inch,JRACEN-PRO-GRIP-T-BAR-18,JRacenstein,"1 shared tokens, category fit"
Tucker,Tucker Resin Bags,20007-10,,1,1,225.00,0.00,225.00,2026-03-09,2026-03-09,unmatched,N,0.305,0.298,,,,,,category fit,0.305,Trash Picker replacement pin Ettore,49542,JRacenstein,category fit,0.298,Starter Window Cleaning Kit,2506,JRacenstein,category fit,0.294,Bucket Super Lid Ettore,85100,JRacenstein,category fit
Parts,Flow Switch,943011N,,3,3,225.00,0.00,225.00,2025-09-09,2025-12-02,unmatched,N,0.759,0.745,,,,,,"2 shared tokens, category fit, name contains match",0.759,FLOW SWITCH 3/8,7295,Barrens,"2 shared tokens, category fit, name contains match",0.745,ST-7 Flow Switch,ST-7,MPWSR,"2 shared tokens, category fit, name contains match",0.570,ST-5 Flow Switch (high flow),200005711,MPWSR,"2 shared tokens, category fit, name contains match"
Tucker,Tucker Nylon Bristles 2 Pencil,767094E,,2,2,220.00,0.00,220.00,2025-10-06,2025-10-24,unmatched,N,0.366,0.293,,,,,,"1 shared tokens, category fit",0.366,Holster Dual Nylon Ettore,50130,JRacenstein,"1 shared tokens, category fit",0.293,Pole Pro+ Snap-In Tip Nylon Ettore,JRACEN-PRO-POLE-TIP,JRacenstein,"1 shared tokens, category fit",,,,,
EaCo Chem,Graf-Ex,4270206,,3,4,222.00,-4.47,217.53,2025-03-25,2025-12-04,unmatched,N,0.582,0.481,,,,,,"1 shared tokens, category fit, name contains match",0.582,Graf-Ex - 1 Gallon,EACOCH-GRAF-EX-1-GALLON,EacoChem,"1 shared tokens, category fit, name contains match",0.481,Graf-Ex - 5 Gallon Pail,EACOCH-GRAF-EX-5-GALLON-PAIL,EacoChem,"1 shared tokens, category fit, name contains match",0.383,Graf-Ex - 55 Gallon Drum,EACOCH-GRAF-EX-55-GALLON-DRUM,EacoChem,"1 shared tokens, category fit, name contains match"
Tucker,Tucker Alpha Hybrid,T-12ALPHA-HY-STD,,1,1,215.65,0.00,215.65,2026-03-10,2026-03-10,unmatched,N,0.314,0.307,,,,,,category fit,0.314,Bucket Super Handle Ettore,JRACEN-SUPER-BUCKET-HANDLE,JRacenstein,category fit,0.307,Bucket Super Lid Ettore,85100,JRacenstein,category fit,0.299,Cleaning Clamp Brush,55170,JRacenstein,category fit
Tagaway/Taginator,Tagaway 1 gal.,783068H,851144004023,3,3,205.50,0.00,205.50,2025-03-18,2025-11-12,unmatched,N,0.262,0.257,,,,,,"1 shared tokens, category fit",0.262,Bucket 3 1/2 Gal Ettore Round - each,82222,JRacenstein,"1 shared tokens, category fit",0.257,Squeegee-Off Glass Cleaner Gallon Ettore,30200,JRacenstein,"1 shared tokens, category fit",,,,,
None,Oil Flo Saftey Solvent Cleaner Gallon,143404D,,1,3,202.50,0.00,202.50,2025-12-16,2025-12-16,unmatched,N,0.410,0.400,,,,,,2 shared tokens,0.410,Polished Stone Cleaner - 1 Gallon,EACOCH-POLISHED-STONE-CLEANER-1-GALLON,EacoChem,2 shared tokens,0.400,ICT Clear Seal Solvent Based 1 gallon,130-1G,MPWSR,2 shared tokens,0.396,Alkaline Stone Cleaner - 1 Gallon,EACOCH-ALKALINE-STONE-CLEANER-1-GALLON,EacoChem,2 shared tokens
Parts,SharpShooter by C&R - Blue,K001050,,3,5,199.95,0.00,199.95,2025-04-08,2025-08-21,unmatched,N,0.440,0.000,,,,,,"1 shared tokens, category fit",0.440,SharpShooter Nozzle Dual Nozzle Holder by C&R,2667,Barrens,"1 shared tokens, category fit",,,,,,,,,,
Tucker,XL ALPHA Solar Brush,T-18ALPHA-SOLAR,,1,1,199.56,0.00,199.56,2026-03-12,2026-03-12,unmatched,N,0.446,0.437,,,,,,"1 shared tokens, category fit",0.446,Flo Scrub Brush,59100,JRacenstein,"1 shared tokens, category fit",0.437,Flo Brush,59070,JRacenstein,"1 shared tokens, category fit",0.420,Large Flo Brush,59080,JRacenstein,"1 shared tokens, category fit"
None,Plumbing Kit,397859N,,1,1,199.00,0.00,199.00,2025-11-11,2025-11-11,unmatched,N,0.317,0.230,,,,,,2 shared tokens,0.317,"KIT, PUMP PLUMBING FITS COM, CAT, AND GEN PUMP",85.400.118,BE,2 shared tokens,0.230,"10-12gpm Pressure Washer Plumbing Kit for AR, Comet, or General Pump",MPK10-12,MPWSR,"2 shared tokens, name contains match",0.230,"6-8gpm Pressure Washer Plumbing Kit for AR, General Pump, and Comet Pump",MPK6-8,MPWSR,"2 shared tokens, name contains match"
Tucker,Alpha Scrubber w/PADS,T-ALPHA-STD-SCRUB,,2,2,196.48,0.00,196.48,2025-04-21,2026-02-05,unmatched,N,0.367,0.281,,,,,,"1 shared tokens, category fit",0.367,Auto Squeegee Scrubber Ettore,59016,JRacenstein,"1 shared tokens, category fit",0.281,"Auto Squeegee Scrubber Wood 8"" Head, 25"" overall",59020,JRacenstein,"1 shared tokens, category fit",0.281,"Auto Squeegee Scrubber Wood 8"" Head, 17"" overall",59816,JRacenstein,"1 shared tokens, category fit"
Parts,Ball Valve Quick Connect SS 3/8in6000psi,890-4965,,2,3,195.00,0.00,195.00,2025-10-20,2025-11-07,unmatched,N,0.432,0.422,,,,,,"3 shared tokens, category fit",0.432,"BALL VALVE 3/8"" 5000PSI W/S.S. QUICK CONNECTED ASS",4643,Barrens,"3 shared tokens, category fit",0.422,"BALL VALVE 316 S.S. 3/8"" FPT 2000 PSI",4065,Barrens,"2 shared tokens, category fit",0.422,"BALL VALVE 316 S.S. 3/8"" FPT 1000 PSI",6114,Barrens,"2 shared tokens, category fit"
Tools,"48"" Zinc Plated Lance",1402,,4,6,195.00,0.00,195.00,2025-03-21,2026-01-21,unmatched,N,0.426,0.422,,,,,,"3 shared tokens, category fit",0.426,"MECLINE LD-L35 40"" ZINC PLATED DUAL LANCE",7536,Barrens,"3 shared tokens, category fit",0.422,"AL325 SQUARE MOLDED GRIP 48"" LANCE",1402,Barrens,"shared code, 2 shared tokens, category fit",0.380,"ST-007 MOLDED GRIP 47"" ZINC PLATED LANCE 5800 PSI",1716,Barrens,"3 shared tokens, category fit"
Tucker,Tucker High Flow Pole Tubing,T-HF-100,,1,1,190.00,0.00,190.00,2025-10-31,2025-10-31,unmatched,N,0.366,0.000,,,,,,"2 shared tokens, category fit",0.366,Extend-a-Flow Pole 06ft Ettore,59072,JRacenstein,"2 shared tokens, category fit",,,,,,,,,,
Tools,Pig Oil Absorbent Sock,582055M,,6,12,186.00,0.00,186.00,2025-03-26,2026-03-04,unmatched,N,0.374,0.358,,,,,,"1 shared tokens, category fit",0.374,"DIPSTICK, OIL, TW-SERIES",3200007500,BE,"1 shared tokens, category fit",0.358,OIL SEAL FOR BXD PUMP,0019012300,BE,"1 shared tokens, category fit",0.357,"CAP, OIL, PUMP, GP, w/DIPSTICK",BE-CAP-OIL-PUMP-GP-W-DIPSTICK,BE,"1 shared tokens, category fit"
Window Cleaning,"Sorbo Cobra 30""",Z064935,,5,6,184.50,0.00,184.50,2025-07-21,2026-03-10,unmatched,N,0.448,0.000,,,,,,"2 shared tokens, category fit",0.448,Sorbo Replacement Rubber Dozen 30 inch,1518,JRacenstein,"2 shared tokens, category fit",,,,,,,,,,
Tucker,23-36 inch carbon fiber gooseneck,T-103-23-CF,,1,1,185.00,-4.79,180.21,2025-04-24,2025-04-24,unmatched,N,0.297,0.297,,,,,,"1 shared tokens, category fit",0.297,"Master Brass Channels with Rubber, 22"" [Case 36]",JRACEN-MASTER-BRASS-CHANNELS-WITH-RU-14,JRacenstein,"1 shared tokens, category fit",0.297,"Master Brass Channels with Rubber, 18"" [Case 36]",JRACEN-MASTER-BRASS-CHANNELS-WITH-RU-11,JRacenstein,"1 shared tokens, category fit",0.297,"Master Brass Channels with Rubber, 16"" [Case 36]",JRACEN-MASTER-BRASS-CHANNELS-WITH-RU-10,JRacenstein,"1 shared tokens, category fit"
Parts,Silcock Key,142181Z,,12,18,180.00,0.00,180.00,2025-04-07,2026-02-09,unmatched,N,0.310,0.215,,,,,,"1 shared tokens, category fit",0.310,IMPELLER PACKING KEY STYLE WQL; NLA,50.104.022,BE,"1 shared tokens, category fit",0.215,Wireless remote With key fob x2,X001RRJENZ,MPWSR,"1 shared tokens, category fit",0.201,CRX420 Electric start Ignition control key box,7119068,MPWSR,"1 shared tokens, category fit"
Tucker,Grey Holster Bucket on a Belt,T-BOAB-GRY,,8,11,175.89,0.00,175.89,2025-05-13,2026-03-13,unmatched,N,0.421,0.399,,,,,,"1 shared tokens, category fit",0.421,Holster Dual Nylon Ettore,50130,JRacenstein,"1 shared tokens, category fit",0.399,"Super Bucket, Hanging Sieve",85300,JRacenstein,"1 shared tokens, category fit",0.379,Holster Dual Leather Ettore,2046,JRacenstein,"1 shared tokens, category fit"
None,preventative maintance service,952374B,,1,1,175.00,0.00,175.00,2025-06-16,2025-06-16,unmatched,N,0.195,0.188,,,,,,1 shared tokens,0.195,"KIT, WAW, RIVET (x6) FOR SERVICE BULLETIN BE001",99.001.002,BE,1 shared tokens,0.188,"OUTLET ADAPTER, BE276RA FOR SERVICE BULLETIN BE003",99.003.001,BE,1 shared tokens,0.170,"KIT, WAW, SCREW (x6) FOR SERVICE BULLETIN BE001",99.001.003,BE,1 shared tokens
Tucker,Tucker TDS Meter,308285T,,4,4,180.00,-5.00,175.00,2025-04-07,2026-02-17,unmatched,N,0.369,0.357,,,,,,category fit,0.369,Bucket Super Lid Ettore,85100,JRacenstein,category fit,0.357,Bucket Super Sieve Ettore,85301,JRacenstein,category fit,0.354,Super Brush Ettore,JRACEN-SUPER-BRUSH,JRacenstein,category fit
Chemicals,Kabosh ActivStrip,3459014,,1,1,175.00,0.00,175.00,2025-10-06,2025-10-06,unmatched,N,0.320,0.311,,,,,,category fit,0.320,AcrylicStrip - 1 Gallon,EACOCH-ACRYLICSTRIP-1-GALLON,EacoChem,category fit,0.311,"2"" Ratchet Strap","2""RATCHETSTRAP",MPWSR,category fit,0.303,Whisper Wash static o-ring,WW130,MPWSR,category fit
None,Glass Gleam 4,D938519,,7,8,172.00,0.00,172.00,2025-03-21,2026-03-13,unmatched,N,0.419,0.367,,,,,,1 shared tokens,0.419,"SIGHT GLASS, EZ",44211801,BE,1 shared tokens,0.367,GP Clear Glass inlet 3/8'',100652,MPWSR,1 shared tokens,0.348,Total Glass Care Kit,JRACEN-TOTAL-GLASS-CARE-KIT,JRacenstein,1 shared tokens
Window Cleaning,Moerman Excelerator Swivel Handle,836074J,,8,7,170.45,0.00,170.45,2025-05-17,2026-03-04,unmatched,N,0.348,0.348,,,,,,"2 shared tokens, category fit",0.348,Ettore Handle Pro+ Super System Swivel Super Channel,13851,JRacenstein,"2 shared tokens, category fit",0.348,Ettore Handle Pro+ Super System Swivel Standard,1640,JRacenstein,"2 shared tokens, category fit",0.311,Ettore Handle Pro+ Super System Swivel Zero Degree Standard'',JRACEN-ZERO-DEGREE-HANDLE,JRacenstein,"2 shared tokens, category fit"
Window Cleaning,"Moerman 22"" Liquidator Squeegee",301879R,,7,6,168.00,0.00,168.00,2025-04-28,2026-03-04,unmatched,N,0.422,0.372,,,,,,"1 shared tokens, category fit",0.422,"Wipe'N Dry Black MossRubber Floor Squeegees 22""",1636,JRacenstein,"1 shared tokens, category fit",0.372,Ettore Sleeve Dura 22 inch,1886,JRacenstein,"1 shared tokens, category fit",0.360,Ettore Sleeve Porcupine 22 inch,58022,JRacenstein,"1 shared tokens, category fit"
Window Cleaning,"Moerman 18"" T-Bar Swivel",C250633,,8,8,167.92,0.00,167.92,2025-04-10,2026-03-04,unmatched,N,0.448,0.431,,,,,,"2 shared tokens, category fit",0.448,Ettore T-Bar ProGrip 18 inch,JRACEN-PRO-GRIP-T-BAR-18,JRacenstein,"2 shared tokens, category fit",0.431,Ettore T-Bar Taper Plastic 18 inch,JRACEN-TAPER-T-BAR-T-BAR-18,JRacenstein,"2 shared tokens, category fit",0.421,Ettore T-Bar Pro+ Fixed Aluminum 18 inch,JRACEN-PRO-T-BAR-18,JRacenstein,"2 shared tokens, category fit"
EaCo Chem,Truck Wash Supreme 1,228118D,,4,4,166.00,0.00,166.00,2025-07-02,2026-02-23,unmatched,N,0.666,0.458,,,,,,"3 shared tokens, category fit",0.666,Truck Wash Supreme SC - 1 Gallon,EACOCH-TRUCK-WASH-SUPREME-SC-1-GALLON,EacoChem,"3 shared tokens, category fit",0.458,Truck Wash Supreme SC - 5 Gallon Pail,EACOCH-TRUCK-WASH-SUPREME-SC-5-GALLON-P,EacoChem,"3 shared tokens, category fit, measure mismatch penalty",0.360,Truck Wash Supreme SC - 55 Gallon Drum,EACOCH-TRUCK-WASH-SUPREME-SC-55-GALLON,EacoChem,"3 shared tokens, category fit, measure mismatch penalty"
